conversation_id_str,created_at,tweet
1.85E+18,Wed Oct 30 09:50:16 +0000 2024,baru aktivin sPaylater menurutku gpp nyicil asal tau batas kemampuan yang bahaya kalo berani ambil cicilan apalagi yg besar tapi ga siap buat bayar. Btw aku pake spaylater buat nyari promo aja https://t.co/e8v0iM9SCF
1.83E+18,Wed Sep 04 05:50:15 +0000 2024,tanyarl wah gila ya gopaylater dendanya waktu itu beli makanan pake promo pembayaran itu dan sekarang lupa blm bayar dendanya udah segini. kenapa pas makanan dateng ngga bisa langsung dibayar sii kan jadi lupa https://t.co/9thLOktLfp
1.81E+18,Sun Mar 6 02:18:27 +0000 2025,"plisss adakah seseorang disini, helppp menurut kalian gw perlu aktifin gopaylater gaakk?? gw butuh bangeetttt tapi gw adanya cash hari ini blm sempet setor tunai, udah coba cari pinjeman dl tp gada yg bales"
1.79E+18,Mon Feb 17 01:07:08 +0000 2025,cc @gopayindonesia min ini ko di blokir gopaylater dahal ga telat bayar ? ANEH
1.44E+18,Sat Sep 25 12:35:57 +0000 2021,Mending sikat sih daripada kepikiran. Bikin tidur susah jadi sering gelisah Emg udah waktunya pake #GoPayLater diawasi OJK jg terbukti aman! Nih caranya biar cepet diapprov pas regis sesuai aturan @gopayindonesia bisa buat kalian jg yg masih bingung. #BarengGoPayLater https://t.co/QTqCBM7LpX
1.85E+18,Thu Jan 16 06:32:06 +0000 2025,kalian ada yang dapet keringanan bunga gk? yang telat bayar gagal bayar spaylater spinjam? tag. pinjol cicilan utas dipo akulaku gopaylater adakami
1.89E+18,Sun Feb 23 02:18:27 +0000 2025,ini CS @gopayindonesia @gojekindonesia bad service banget... tanggapannya lama beda sama @HaloBCA udh gitu main blokir blokir gopaylater aja secara bayar mah bayar nggk ada nunggak..
1.85E+18,Sun Nov 03 23:31:07 +0000 2024,"Spaylater di Shopee itu ada biaya pemrosesan, lho. Saat kamu ingin melakukan pembayaran nanti, akan ada biaya tambahan yang dikenakan sesuai dengan jumlah yang harus dibayar, yaitu sebesar 1.5%. Jadi, jangan terlalu senang dulu melihat bunga 0% meskipun cicilannya 6 bulan. "
1.90E+18,Sat Mar 01 05:29:51 +0000 2025,Pamer akhirnya kebeli juga cushion makeover waktu di lazada gak jadi dibayar soalnya shadenya kurang cocok eh malah dapet di shopee dan bayarnya pake shopeepaylater lagi cepet banget hehe
1.42E+18,Mon Aug 02 17:26:27 +0000 2021,Hati-hati dengan Shopee SPayLater ini. Banyak yang nggak sadar ada biaya tersembunyi dan bunga yang bisa bikin utang menumpuk kalau telat bayar. Baca baik-baik terms of service sebelum pakai! ⚠️ https://t.co/8XG0H28Nki https://t.co/pLuO6QRsCV
1.84E+18,Wed Sep 25 04:06:27 +0000 2024,Hai temen-temen aku mohon bantuannya karna habis ketipu 9 juta dari shopee untuk pembelian di digital market. Ada ya tau untuk cara pembatalannya di shopee karna 9 juta itu akan otomatis jadi tagihan spaylater sedangkan aku masih umur 18 tahun. Aku gaberani (cont) https://t.co/X2wTQqyxyF
1.89E+18,Mon Feb 24 02:00:05 +0000 2025,Jujur baru tau banget sekarang bunga 0% buat checkout belanja di Shopee pake SPayLater khusus yang bayar bulan depan Dan sekarang kalo kemana mana lupa topup saldo ga perlu ribet bayar QRIS juga bisa pake SPayLater oke banget gak tuh! https://t.co/WM2nwzaAP1
1.40E+18,Mon Jun 07 13:44:35 +0000 2021,Guys beware buat yang suka jajan pake spaylater buat dilunasin pada tanggal tenggatnya ya guys Tadi sore ada mba2 shopee telpon aku ada salah satu buyer aku yg ga bayar2 spaylater dan nomornya gabisa dihubungin Dan kalo bisa jangan pernah telat sih guys karena apapun alasan--
1.58E+18,Tue Oct 11 05:55:15 +0000 2022,Mumpung ada promo di Shopee mau belanja tapi jatah uang bulanan udah habis? Tenang aja karena ada SPAYLATER di Shopee Kamu bisa beli sekarang bayarnya nanti bisa dicicil sampai 12 Bulan &amp; dapetin CASHBACK S/D 1 JT! Tonton video ini sampai akhir &amp; daftar sekarang juga! ️ https://t.co/oBW8UjZSSn
1.60E+18,Wed Nov 23 05:00:00 +0000 2022,Sobat Shopee mau belanja tapi uang bulanan udah tipis? Yuk pakai jurus jitu belanja hemat dgn cara pakai SPayLater bisa beli sekarang dan bayarnya nanti. Juga bisa dicicil sampai dengan 12 bulan dgn Cashback s/d 1 JT! Cek https://t.co/e3eoG6gxXK #ShopeeID https://t.co/clNklVDkwM
1.58E+18,Sat Oct 08 04:00:00 +0000 2022,Buat kamu yang pengen belanja tapi uang bulanan udah tipis gak usah khawatir. Kamu bisa belanja pakai SPayLater! Beli barang incaranmu &amp; bayarnya nanti! Makin lengkap karena sekarang bisa dicicil &amp; ada promo Pasti Cashback s/d 1JT! Cek di https://t.co/e3eoG5YWza #ShopeeID https://t.co/uGIRfW4l7b
1.78E+18,Thu Apr 18 16:33:05 +0000 2024,Sekelas shopee pinjaman paylaternya masih bisa kebobolan wkwkw Kalian yang punya akun shopee paylater coba cek lagi deh mana tau dipakai orang lain #Shopee #SPayLater #SPinjam
1.53E+18,Tue May 24 15:29:53 +0000 2022,pake spaylater jg gak? aku jawab pake ini bodoh bgt knp aku jawab trs dia blg kebetulan untuk org org yg dpt 2jt tagihan akan ditanggung oleh shopee trs aku blg tp aku udah gada tagihan udah lama gapake spaylater trs dia nanya lg aku pake spinjam apa engga
1.89E+18,Sun Feb 23 11:29:24 +0000 2025,Lagi banyak banget list belanjaan di e-commerce HAHA terus lagi mau coba CO pake SPayLater ternyata bayar bulan depan bunganya 0% yaa? terus bisa bayar pake QRIS jg baru tau ada yg pernah cobaa?? https://t.co/ygePwnaqLZ
