conversation_id_str,created_at,tweet,label
1.82E+19,Sat Sep 14 13:46:41 +0000 2024,"Tiap kali scroll TikTok, pasti muncul barang lucu dan karena udah ada #tiktokpaylater, tinggal klik beli. Bahaya sih, tapi emang memudahkan. Ini pengalaman pribadi ya, bisa jadi beda buat orang lain.",positif
6.17E+18,Fri Apr 05 18:16:41 +0000 2024,"Pernah sih error pas pakai #gopaylater, tapi di luar itu fiturnya ngebantu banget dan limitnya lumayan. Gue pake buat bayar belanjaan di GoMart juga. Lumayan banget sih buat yang lagi nyari solusi cepat dan gak ribet.",positif
4.77E+18,Thu Jan 23 00:03:56 +0000 2025,"#shopeepaylater ini solusi banget buat yang suka belanja tapi belum gajian. Tapi jangan sampai dijadikan alasan buat gaya hidup konsumtif ya. Tapi inget ya, tagihannya tetep harus dibayar sebelum jatuh tempo.",positif
1.67E+19,Sun Dec 22 13:45:17 +0000 2024,"Setelah aktifin #tiktokpaylater, belanja di TikTok Shop jadi makin sering. Tapi gue coba atur biar cuma beli yang bener-bener dibutuhin aja. Ini pengalaman pribadi ya, bisa jadi beda buat orang lain.",netral
3.89E+17,Mon Aug 01 12:17:07 +0000 2022,"Proses aktivasi #tiktokpaylater cepet banget. Gue kira bakal ribet kayak aplikasi lain, tapi ini tinggal klik doang langsung bisa dipake. Intinya sih, harus pintar-pintar ngatur keuangan.",positif
7.35E+18,Tue Jan 07 19:07:46 +0000 2025,"Kalau lagi kepepet dan dompet lagi tipis, #gopaylater bisa jadi penyelamat. Tapi inget, jangan sampai ketergantungan karena bisa bikin kebiasaan jelek juga. Intinya sih, harus pintar-pintar ngatur keuangan.",netral
1.73E+19,Sat Jun 04 13:18:28 +0000 2022,"Proses aktivasi #tiktokpaylater cepet banget. Gue kira bakal ribet kayak aplikasi lain, tapi ini tinggal klik doang langsung bisa dipake. Tapi tetep ya, yang namanya utang harus diprioritaskan buat dilunasi.",positif
3.96E+18,Thu Aug 12 00:03:32 +0000 2021,"Proses aktivasi #tiktokpaylater cepet banget. Gue kira bakal ribet kayak aplikasi lain, tapi ini tinggal klik doang langsung bisa dipake. Tapi fitur ini ngebantu banget sih selama dipakai dengan bijak.",positif
1.24E+19,Wed Oct 04 08:19:24 +0000 2023,"Awalnya sempat skeptis sama fitur paylater, tapi setelah coba #shopeepaylater, ternyata cukup membantu pas butuh dana cepat. Walau harus tetap hati-hati biar gak kalap. Lumayan banget sih buat yang lagi nyari solusi cepat dan gak ribet.",positif
9.93E+18,Sat Mar 19 03:08:21 +0000 2022,"Menurut gue #shopeepaylater cocok banget buat jaga-jaga kalo ada kebutuhan mendesak. Tapi ya harus bisa ngatur prioritas, jangan mentang-mentang bisa bayar nanti. Intinya sih, harus pintar-pintar ngatur keuangan.",positif
8.58E+18,Sat Sep 07 14:57:56 +0000 2024,"Ada satu masa gue pake #gopaylater terus-terusan karena promo cashback-nya. Untungnya masih bisa kontrol pembayaran, kalau enggak sih berabe. Intinya sih, harus pintar-pintar ngatur keuangan.",netral
8.13E+17,Sat Oct 21 18:31:53 +0000 2023,"#gopaylater ini fitur favorit gue buat kebutuhan harian kayak beli makan atau transport. Gak perlu ribet dan langsung dipotong bulan depan. Tapi tetep ya, yang namanya utang harus diprioritaskan buat dilunasi.",netral
7.62E+18,Wed Apr 28 02:35:05 +0000 2021,"#tiktokpaylater itu ibarat pedang bermata dua. Di satu sisi praktis banget buat checkout barang lucu di TikTok, tapi gampang banget bikin kalap juga. Untungnya gue selalu catat jadwal bayar biar gak kelewat.",netral
1.16E+19,Tue Oct 26 20:27:38 +0000 2021,"Awalnya sempat skeptis sama fitur paylater, tapi setelah coba #shopeepaylater, ternyata cukup membantu pas butuh dana cepat. Walau harus tetap hati-hati biar gak kalap. Gue saranin sih jangan terlalu sering pake, nanti nagih.",positif
8.58E+17,Wed Apr 07 18:03:57 +0000 2021,"Tiap kali scroll TikTok, pasti muncul barang lucu dan karena udah ada #tiktokpaylater, tinggal klik beli. Bahaya sih, tapi emang memudahkan. Kadang suka was-was juga sih, takut kelupaan bayar.",negatif
1.62E+19,Thu Aug 31 10:39:32 +0000 2023,"Pernah sih error pas pakai #gopaylater, tapi di luar itu fiturnya ngebantu banget dan limitnya lumayan. Gue pake buat bayar belanjaan di GoMart juga. Intinya sih, harus pintar-pintar ngatur keuangan.",positif
1.43E+18,Fri Jan 21 21:05:52 +0000 2022,"Pernah sih error pas pakai #gopaylater, tapi di luar itu fiturnya ngebantu banget dan limitnya lumayan. Gue pake buat bayar belanjaan di GoMart juga. Ini pengalaman pribadi ya, bisa jadi beda buat orang lain.",positif
7.57E+18,Thu Jul 25 13:57:22 +0000 2024,"#tiktokpaylater itu ibarat pedang bermata dua. Di satu sisi praktis banget buat checkout barang lucu di TikTok, tapi gampang banget bikin kalap juga. Tapi fitur ini ngebantu banget sih selama dipakai dengan bijak.",positif
1.63E+19,Tue Jul 18 18:54:21 +0000 2023,#shopeepaylater ini solusi banget buat yang suka belanja tapi belum gajian. Tapi jangan sampai dijadikan alasan buat gaya hidup konsumtif ya. Lumayan banget sih buat yang lagi nyari solusi cepat dan gak ribet.,positif
1.79E+19,Mon Feb 15 09:48:30 +0000 2021,#gopaylater ini fitur favorit gue buat kebutuhan harian kayak beli makan atau transport. Gak perlu ribet dan langsung dipotong bulan depan. Untungnya gue selalu catat jadwal bayar biar gak kelewat.,netral
1.76E+19,Sun May 01 04:09:26 +0000 2022,"Tiap kali scroll TikTok, pasti muncul barang lucu dan karena udah ada #tiktokpaylater, tinggal klik beli. Bahaya sih, tapi emang memudahkan. Tapi fitur ini ngebantu banget sih selama dipakai dengan bijak.",positif
1.40E+19,Sun Mar 06 23:06:00 +0000 2022,"Kalau lagi kepepet dan dompet lagi tipis, #gopaylater bisa jadi penyelamat. Tapi inget, jangan sampai ketergantungan karena bisa bikin kebiasaan jelek juga. Lumayan banget sih buat yang lagi nyari solusi cepat dan gak ribet.",positif
1.02E+19,Fri Sep 13 21:42:49 +0000 2024,"Proses aktivasi #tiktokpaylater cepet banget. Gue kira bakal ribet kayak aplikasi lain, tapi ini tinggal klik doang langsung bisa dipake. Tapi inget ya, tagihannya tetep harus dibayar sebelum jatuh tempo.",netral
5.93E+18,Sat Oct 29 05:00:12 +0000 2022,"Ada satu masa gue pake #gopaylater terus-terusan karena promo cashback-nya. Untungnya masih bisa kontrol pembayaran, kalau enggak sih berabe. Tapi inget ya, tagihannya tetep harus dibayar sebelum jatuh tempo.",positif
1.09E+19,Tue Oct 05 01:31:47 +0000 2021,"Tiap kali scroll TikTok, pasti muncul barang lucu dan karena udah ada #tiktokpaylater, tinggal klik beli. Bahaya sih, tapi emang memudahkan. Intinya sih, harus pintar-pintar ngatur keuangan.",negatif
1.20E+19,Fri Feb 03 23:58:08 +0000 2023,"Ada satu masa gue pake #gopaylater terus-terusan karena promo cashback-nya. Untungnya masih bisa kontrol pembayaran, kalau enggak sih berabe. Tapi fitur ini ngebantu banget sih selama dipakai dengan bijak.",positif
1.71E+19,Thu Jul 22 13:22:34 +0000 2021,"Kalau lagi kepepet dan dompet lagi tipis, #gopaylater bisa jadi penyelamat. Tapi inget, jangan sampai ketergantungan karena bisa bikin kebiasaan jelek juga. Ini pengalaman pribadi ya, bisa jadi beda buat orang lain.",netral
2.76E+18,Sat May 27 06:24:52 +0000 2023,"Awalnya sempat skeptis sama fitur paylater, tapi setelah coba #shopeepaylater, ternyata cukup membantu pas butuh dana cepat. Walau harus tetap hati-hati biar gak kalap. Tapi inget ya, tagihannya tetep harus dibayar sebelum jatuh tempo.",positif
2.00E+18,Sun Jan 23 05:09:36 +0000 2022,"#tiktokpaylater itu ibarat pedang bermata dua. Di satu sisi praktis banget buat checkout barang lucu di TikTok, tapi gampang banget bikin kalap juga. Kadang suka was-was juga sih, takut kelupaan bayar.",positif
1.82E+19,Thu Oct 28 00:27:43 +0000 2021,"Kalau lagi kepepet dan dompet lagi tipis, #gopaylater bisa jadi penyelamat. Tapi inget, jangan sampai ketergantungan karena bisa bikin kebiasaan jelek juga. Untungnya gue selalu catat jadwal bayar biar gak kelewat.",netral
9.80E+18,Mon Mar 27 01:32:50 +0000 2023,"#shopeepaylater ini solusi banget buat yang suka belanja tapi belum gajian. Tapi jangan sampai dijadikan alasan buat gaya hidup konsumtif ya. Ini pengalaman pribadi ya, bisa jadi beda buat orang lain.",positif
6.56E+18,Mon Oct 21 15:44:54 +0000 2024,"Setelah aktifin #tiktokpaylater, belanja di TikTok Shop jadi makin sering. Tapi gue coba atur biar cuma beli yang bener-bener dibutuhin aja. Tapi inget ya, tagihannya tetep harus dibayar sebelum jatuh tempo.",netral
1.08E+19,Thu Oct 24 09:04:16 +0000 2024,"Ada satu masa gue pake #gopaylater terus-terusan karena promo cashback-nya. Untungnya masih bisa kontrol pembayaran, kalau enggak sih berabe. Kadang suka was-was juga sih, takut kelupaan bayar.",netral
4.37E+18,Wed Aug 03 09:52:25 +0000 2022,"Pernah sih error pas pakai #gopaylater, tapi di luar itu fiturnya ngebantu banget dan limitnya lumayan. Gue pake buat bayar belanjaan di GoMart juga. Tapi inget ya, tagihannya tetep harus dibayar sebelum jatuh tempo.",positif
6.97E+18,Wed Feb 19 18:02:06 +0000 2025,#shopeepaylater ini solusi banget buat yang suka belanja tapi belum gajian. Tapi jangan sampai dijadikan alasan buat gaya hidup konsumtif ya. Tapi fitur ini ngebantu banget sih selama dipakai dengan bijak.,positif
7.61E+18,Fri Mar 26 16:35:29 +0000 2021,"Ada satu masa gue pake #gopaylater terus-terusan karena promo cashback-nya. Untungnya masih bisa kontrol pembayaran, kalau enggak sih berabe. Ini pengalaman pribadi ya, bisa jadi beda buat orang lain.",netral
4.10E+18,Tue Dec 13 22:49:45 +0000 2022,"Pernah sih error pas pakai #gopaylater, tapi di luar itu fiturnya ngebantu banget dan limitnya lumayan. Gue pake buat bayar belanjaan di GoMart juga. Untungnya gue selalu catat jadwal bayar biar gak kelewat.",positif
